"Date","Price","Open","High","Low","Change %"
"Sep 19, 1993","1.1629","1.1762","1.1867","1.1512","-1.27%"
"Sep 12, 1993","1.1779","1.1855","1.1992","1.1750","-0.72%"
"Sep 05, 1993","1.1865","1.1658","1.1890","1.1642","1.85%"
"Aug 29, 1993","1.1650","1.1408","1.1650","1.1350","1.97%"
"Aug 22, 1993","1.1425","1.1414","1.1448","1.1282","0.04%"
"Aug 15, 1993","1.1420","1.1125","1.1435","1.1117","2.82%"
"Aug 08, 1993","1.1107","1.1260","1.1292","1.1066","-1.45%"
"Aug 01, 1993","1.1270","1.0950","1.1310","1.0822","3.06%"
"Jul 25, 1993","1.0935","1.1310","1.1335","1.0870","-3.08%"
"Jul 18, 1993","1.1282","1.1330","1.1492","1.1277","-0.34%"
"Jul 11, 1993","1.1320","1.1330","1.1383","1.1215","-0.10%"
"Jul 04, 1993","1.1331","1.1543","1.1553","1.1320","-1.81%"
"Jun 27, 1993","1.1540","1.1476","1.1630","1.1416","0.64%"
"Jun 20, 1993","1.1467","1.1651","1.1657","1.1430","-1.68%"
"Jun 13, 1993","1.1663","1.2009","1.2073","1.1626","-2.88%"
"Jun 06, 1993","1.2009","1.2002","1.2086","1.1920","0.08%"
"May 30, 1993","1.1999","1.2240","1.2311","1.1980","-2.41%"
"May 23, 1993","1.2295","1.2032","1.2301","1.1935","1.97%"
"May 16, 1993","1.2057","1.2145","1.2184","1.1997","-0.99%"
"May 09, 1993","1.2178","1.2327","1.2363","1.2043","-1.36%"
"May 02, 1993","1.2346","1.2305","1.2478","1.2260","0.13%"
"Apr 25, 1993","1.2330","1.2355","1.2485","1.2250","0.03%"
"Apr 18, 1993","1.2326","1.2067","1.2365","1.2067","2.24%"
"Apr 11, 1993","1.2056","1.2101","1.2341","1.2046","-0.61%"
"Apr 04, 1993","1.2130","1.2139","1.2174","1.2004","-0.15%"
"Mar 28, 1993","1.2148","1.1890","1.2224","1.1855","2.30%"
"Mar 21, 1993","1.1875","1.1850","1.1933","1.1760","0.15%"
"Mar 14, 1993","1.1857","1.1626","1.1900","1.1614","1.78%"
"Mar 07, 1993","1.1650","1.1645","1.1746","1.1608","-0.21%"
"Feb 28, 1993","1.1675","1.1716","1.1898","1.1625","-0.89%"
"Feb 21, 1993","1.1780","1.1855","1.1991","1.1735","-0.77%"
"Feb 14, 1993","1.1872","1.1705","1.1980","1.1690","1.12%"
"Feb 07, 1993","1.1740","1.1768","1.1868","1.1706","-0.09%"
"Jan 31, 1993","1.1750","1.2110","1.2110","1.1712","-2.97%"
"Jan 24, 1993","1.2110","1.2321","1.2500","1.2100","-1.71%"
"Jan 17, 1993","1.2321","1.2005","1.2337","1.2005","2.59%"
"Jan 10, 1993","1.2010","1.1980","1.2135","1.1980","0.84%"
"Jan 03, 1993","1.1910","1.2038","1.2077","1.1875","-1.14%"
"Dec 27, 1992","1.2047","1.2192","1.2218","1.2029","-1.42%"
"Dec 20, 1992","1.2220","1.2460","1.2507","1.2220","-2.12%"
"Dec 13, 1992","1.2485","1.2465","1.2663","1.2438","0.44%"
"Dec 06, 1992","1.2430","1.2326","1.2661","1.2326","0.63%"
"Nov 29, 1992","1.2352","1.2260","1.2482","1.2180","0.87%"
"Nov 22, 1992","1.2245","1.2133","1.2372","1.2130","-0.55%"
"Nov 15, 1992","1.2313","1.2482","1.2509","1.2245","-1.50%"
"Nov 08, 1992","1.2500","1.2318","1.2575","1.2232","1.49%"
"Nov 01, 1992","1.2317","1.2722","1.2730","1.2313","-3.24%"
"Oct 25, 1992","1.2729","1.2830","1.2898","1.2657","-0.86%"
"Oct 18, 1992","1.2840","1.3123","1.3220","1.2765","-2.43%"
"Oct 11, 1992","1.3160","1.3283","1.3498","1.3133","0.04%"
"Oct 04, 1992","1.3155","1.3802","1.3917","1.3078","-4.57%"
"Sep 27, 1992","1.3785","1.3185","1.3995","1.3155","4.39%"
"Sep 20, 1992","1.3205","1.3110","1.3328","1.2845","1.54%"
"Sep 13, 1992","1.3005","1.3543","1.3747","1.2653","-6.69%"
"Sep 06, 1992","1.3937","1.4413","1.4581","1.3903","-3.52%"
"Aug 30, 1992","1.4445","1.4345","1.4579","1.4103","0.77%"
"Aug 23, 1992","1.4335","1.4303","1.4497","1.4238","0.88%"
"Aug 16, 1992","1.4210","1.3845","1.4223","1.3785","2.34%"
"Aug 09, 1992","1.3885","1.3900","1.3982","1.3780","-0.09%"
"Aug 02, 1992","1.3898","1.3805","1.3937","1.3705","0.51%"
"Jul 26, 1992","1.3828","1.3555","1.3867","1.3555","2.01%"
"Jul 19, 1992","1.3555","1.3998","1.4055","1.3523","-2.94%"
"Jul 12, 1992","1.3965","1.3721","1.3980","1.3673","2.23%"
"Jul 05, 1992","1.3660","1.3458","1.3842","1.3368","1.24%"
"Jun 28, 1992","1.3493","1.3333","1.3630","1.3319","1.03%"
"Jun 21, 1992","1.3356","1.3025","1.3377","1.2995","2.50%"
"Jun 14, 1992","1.3030","1.2981","1.3110","1.2932","0.35%"
"Jun 07, 1992","1.2985","1.2898","1.3047","1.2811","0.76%"
"May 31, 1992","1.2887","1.2790","1.2932","1.2660","0.80%"
"May 24, 1992","1.2785","1.2715","1.2825","1.2541","0.51%"
"May 17, 1992","1.2720","1.2775","1.2940","1.2655","-0.37%"
"May 10, 1992","1.2767","1.2767","1.2807","1.2480","2.19%"
"May 03, 1992","1.2493","1.2493","1.2631","1.2437","-0.14%"
"Apr 26, 1992","1.2510","1.2510","1.2515","1.2350","0.68%"
"Apr 19, 1992","1.2425","1.2425","1.2457","1.2247","1.12%"
"Apr 12, 1992","1.2287","1.2287","1.2504","1.2265","-1.74%"
"Apr 05, 1992","1.2505","1.2505","1.2670","1.2483","-0.40%"
"Mar 29, 1992","1.2555","1.2555","1.2590","1.2317","0.84%"
"Mar 22, 1992","1.2450","1.2450","1.2465","1.2167","1.76%"
"Mar 15, 1992","1.2235","1.2235","1.2428","1.2128","-0.09%"
"Mar 08, 1992","1.2246","1.2246","1.2338","1.2187","-0.20%"
"Mar 01, 1992","1.2270","1.2270","1.2539","1.2181","-1.72%"
"Feb 23, 1992","1.2485","1.2485","1.2553","1.2283","0.96%"
"Feb 16, 1992","1.2366","1.2366","1.2715","1.2340","-1.66%"
"Feb 09, 1992","1.2575","1.2575","1.3112","1.2533","-3.97%"
"Feb 02, 1992","1.3095","1.3095","1.3103","1.2704","3.23%"
"Jan 26, 1992","1.2685","1.2685","1.2895","1.2600","-0.82%"
"Jan 19, 1992","1.2790","1.2790","1.2919","1.2630","-0.38%"
"Jan 12, 1992","1.2839","1.2839","1.2999","1.2464","-0.04%"
"Jan 05, 1992","1.2844","1.2844","1.3530","1.2817","-2.56%"
"Dec 29, 1991","1.3182","1.3182","1.3452","1.3134","-1.22%"
"Dec 22, 1991","1.3345","1.3345","1.3495","1.3245","0.95%"
"Dec 15, 1991","1.3220","1.3220","1.3255","1.2822","3.01%"
"Dec 08, 1991","1.2834","1.2834","1.3002","1.2757","-0.92%"
"Dec 01, 1991","1.2953","1.2953","1.2962","1.2592","3.21%"
"Nov 24, 1991","1.2550","1.2550","1.2887","1.2455","-2.14%"
"Nov 17, 1991","1.2824","1.2824","1.2874","1.2611","1.74%"
"Nov 10, 1991","1.2605","1.2605","1.2627","1.2381","1.66%"
"Nov 03, 1991","1.2399","1.2399","1.2580","1.2378","-0.32%"
"Oct 27, 1991","1.2439","1.2439","1.2452","1.1905","3.25%"
"Oct 20, 1991","1.2048","1.2048","1.2159","1.1965","-0.71%"
"Oct 13, 1991","1.2134","1.2134","1.2147","1.1958","0.07%"
"Oct 06, 1991","1.2125","1.2125","1.2308","1.1967","-0.69%"
"Sep 29, 1991","1.2209","1.2209","1.2342","1.2149","-0.42%"
"Sep 22, 1991","1.2260","1.2260","1.2304","1.2096","0.86%"
"Sep 15, 1991","1.2155","1.2155","1.2285","1.2052","0.05%"
