"Date","Price","Open","High","Low","Change %"
"Oct 24, 1993","5.7868","5.7868","5.7868","5.7868","0.05%"
"Oct 17, 1993","5.7841","5.7841","5.7841","5.7841","-0.05%"
"Oct 10, 1993","5.7868","5.7868","5.7868","5.7868","0.00%"
"Oct 03, 1993","5.7868","5.7868","5.7868","5.7868","0.00%"
"Sep 26, 1993","5.7868","5.7868","5.7868","5.7868","0.00%"
"Sep 19, 1993","5.7868","5.7868","5.7868","5.7868","0.00%"
"Sep 12, 1993","5.7868","5.7868","5.7868","5.7868","0.00%"
"Sep 05, 1993","5.7868","5.7868","5.7868","5.7868","0.00%"
"Aug 29, 1993","5.7868","5.7868","5.7868","5.7868","0.09%"
"Aug 22, 1993","5.7818","5.7818","5.7818","5.7818","0.00%"
"Aug 15, 1993","5.7818","5.7818","5.7818","5.7818","0.00%"
"Aug 08, 1993","5.7818","5.7818","5.7818","5.7818","0.36%"
"Aug 01, 1993","5.7612","5.7612","5.7612","5.7612","0.00%"
"Jul 25, 1993","5.7612","5.7612","5.7612","5.7612","0.00%"
"Jul 18, 1993","5.7612","5.7612","5.7612","5.7612","0.00%"
"Jul 11, 1993","5.7612","5.7612","5.7612","5.7612","0.00%"
"Jul 04, 1993","5.7612","5.7612","5.7612","5.7612","0.00%"
"Jun 27, 1993","5.7612","5.7612","5.7612","5.7612","0.00%"
"Jun 20, 1993","5.7612","5.7612","5.7612","5.7612","0.19%"
"Jun 13, 1993","5.7502","5.7502","5.7502","5.7502","0.70%"
"Jun 06, 1993","5.7100","5.7100","5.7100","5.7100","0.00%"
"May 30, 1993","5.7100","5.7100","5.7100","5.7100","-0.33%"
"May 23, 1993","5.7290","5.7290","5.7290","5.7290","0.00%"
"May 16, 1993","5.7290","5.7290","5.7290","5.7290","0.00%"
"May 09, 1993","5.7290","5.7290","5.7290","5.7290","0.36%"
"May 02, 1993","5.7084","5.7084","5.7084","5.7084","0.00%"
"Apr 25, 1993","5.7084","5.7084","5.7084","5.7084","0.26%"
"Apr 18, 1993","5.6934","5.6934","5.6934","5.6934","-0.15%"
"Apr 11, 1993","5.7020","5.7020","5.7020","5.7020","-0.30%"
"Apr 04, 1993","5.7190","5.7190","5.7190","5.7190","0.00%"
"Mar 28, 1993","5.7190","5.7190","5.7190","5.7190","0.00%"
"Mar 21, 1993","5.7190","5.7190","5.7190","5.7190","-0.19%"
"Mar 14, 1993","5.7299","5.7299","5.7299","5.7299","-0.00%"
"Mar 07, 1993","5.7300","5.7300","5.7300","5.7300","0.00%"
"Feb 28, 1993","5.7300","5.7300","5.7300","5.7300","-0.18%"
"Feb 21, 1993","5.7402","5.7402","5.7402","5.7402","-0.26%"
"Feb 14, 1993","5.7550","5.7550","5.7550","5.7550","-0.53%"
"Feb 07, 1993","5.7855","5.7855","5.7855","5.7855","0.00%"
"Jan 31, 1993","5.7855","5.7855","5.7855","5.7855","0.18%"
"Jan 24, 1993","5.7750","5.7750","5.7750","5.7750","0.00%"
