"Date","Price","Open","High","Low","Change %"
"Sep 06, 1992","30.017","30.102","30.175","29.949","-0.18%"
"Aug 30, 1992","30.071","30.404","30.404","30.044","-2.27%"
"Aug 23, 1992","30.769","30.190","31.080","30.063","2.09%"
"Aug 16, 1992","30.139","30.062","30.230","30.021","0.35%"
"Aug 09, 1992","30.035","30.039","30.152","29.958","0.03%"
"Aug 02, 1992","30.026","30.143","30.207","29.958","-0.24%"
"Jul 26, 1992","30.098","30.166","30.464","30.062","-0.01%"
"Jul 19, 1992","30.102","30.358","30.395","30.008","-0.74%"
"Jul 12, 1992","30.326","30.432","30.502","30.276","-0.17%"
"Jul 05, 1992","30.377","30.221","30.642","30.134","0.35%"
"Jun 28, 1992","30.271","30.248","30.997","30.048","0.09%"
"Jun 21, 1992","30.243","29.985","30.363","29.776","1.04%"
"Jun 14, 1992","29.931","30.225","30.271","29.878","-0.93%"
"Jun 07, 1992","30.211","30.464","30.511","30.103","-0.76%"
"May 31, 1992","30.441","30.623","30.774","30.326","-0.53%"
"May 24, 1992","30.604","30.558","31.254","30.400","0.30%"
"May 17, 1992","30.511","30.212","30.674","29.760","1.23%"
"May 10, 1992","30.141","30.141","30.532","30.023","-0.87%"
"May 03, 1992","30.404","30.404","30.661","30.381","-0.60%"
"Apr 26, 1992","30.586","30.586","30.783","30.506","-0.06%"
"Apr 19, 1992","30.604","30.604","31.113","30.502","-1.30%"
"Apr 12, 1992","31.008","31.008","31.264","30.993","-0.31%"
"Apr 05, 1992","31.104","31.104","31.323","31.080","-0.20%"
"Mar 29, 1992","31.166","31.166","31.781","30.430","-0.24%"
"Mar 22, 1992","31.240","31.240","31.756","30.922","1.30%"
"Mar 15, 1992","30.840","30.840","31.080","29.937","3.60%"
"Mar 08, 1992","29.768","29.768","30.434","28.614","2.44%"
"Mar 01, 1992","29.059","29.059","30.314","28.022","10.55%"
"Feb 23, 1992","26.287","26.287","27.452","25.902","-0.64%"
"Feb 16, 1992","26.455","26.455","27.062","25.868","2.15%"
"Feb 09, 1992","25.897","25.897","26.052","25.787","0.20%"
"Feb 02, 1992","25.846","25.846","25.994","25.783","-0.60%"
"Jan 26, 1992","26.001","26.001","26.055","25.877","-0.27%"
"Jan 19, 1992","26.072","26.072","26.120","25.857","0.15%"
"Jan 12, 1992","26.032","26.032","26.154","25.803","0.81%"
"Jan 05, 1992","25.823","25.823","25.880","25.787","-0.01%"
"Dec 29, 1991","25.826","25.826","25.856","25.773","0.05%"
"Dec 22, 1991","25.813","25.813","25.913","25.733","-0.01%"
"Dec 15, 1991","25.816","25.816","25.913","25.783","-0.22%"
"Dec 08, 1991","25.873","25.873","25.930","25.810","-0.04%"
"Dec 01, 1991","25.883","25.883","25.940","25.793","0.28%"
"Nov 24, 1991","25.810","25.810","25.893","25.763","0.10%"
"Nov 17, 1991","25.785","25.785","25.848","25.785","-0.13%"
"Nov 10, 1991","25.818","25.818","25.912","25.785","0.03%"
"Nov 03, 1991","25.810","25.810","25.890","25.790","-0.04%"
"Oct 27, 1991","25.820","25.820","26.004","25.787","0.02%"
"Oct 20, 1991","25.816","25.816","25.863","25.810","-0.13%"
"Oct 13, 1991","25.850","25.850","25.917","25.787","0.14%"
"Oct 06, 1991","25.813","25.813","25.920","25.760","0.22%"
"Sep 29, 1991","25.757","25.757","25.877","25.717","-0.18%"
"Sep 22, 1991","25.803","25.803","25.997","25.770","-0.59%"
"Sep 15, 1991","25.957","25.957","26.031","25.827","0.49%"
"Sep 08, 1991","25.830","25.830","25.917","25.724","-0.10%"
"Sep 01, 1991","25.857","25.857","25.984","25.757","0.22%"
"Aug 25, 1991","25.800","25.800","26.052","25.750","-0.58%"
"Aug 18, 1991","25.950","25.950","26.257","25.917","-0.03%"
"Aug 11, 1991","25.957","25.957","26.127","25.833","0.76%"
"Aug 04, 1991","25.760","25.760","25.850","25.520","-1.07%"
"Jul 28, 1991","26.038","26.038","26.120","25.720","1.09%"
"Jul 21, 1991","25.757","25.757","25.910","25.704","-0.66%"
"Jul 14, 1991","25.927","25.927","26.025","25.793","0.04%"
"Jul 07, 1991","25.917","25.917","26.052","25.790","-0.72%"
"Jun 30, 1991","26.106","26.106","26.613","23.077","23.13%"
"Jun 23, 1991","21.202","21.202","21.247","21.062","0.56%"
"Jun 16, 1991","21.084","21.084","21.247","21.084","-0.01%"
"Jun 09, 1991","21.086","21.086","21.124","20.914","0.13%"
"Jun 02, 1991","21.059","21.059","21.104","20.927","0.71%"
"May 26, 1991","20.910","20.910","20.927","20.689","0.76%"
"May 19, 1991","20.753","20.753","20.829","20.648","1.06%"
"May 12, 1991","20.536","20.536","20.553","20.458","0.37%"
"May 05, 1991","20.460","20.460","20.544","20.332","1.28%"
"Apr 28, 1991","20.202","20.202","20.331","20.188","-0.19%"
"Apr 21, 1991","20.241","20.241","20.377","20.192","0.65%"
"Apr 14, 1991","20.111","20.111","20.131","19.757","1.52%"
"Apr 07, 1991","19.810","19.810","19.895","19.695","0.37%"
"Mar 31, 1991","19.737","19.737","19.780","19.610","0.61%"
"Mar 24, 1991","19.617","19.617","19.702","19.356","1.65%"
"Mar 17, 1991","19.299","19.299","19.427","19.170","0.77%"
